2026-07-05 14:14:43 | WARNING | trading_bot | EMERGENCY MODE ACTIVADO: Health monitor detecto estado ERROR
2026-07-05 14:14:44 | WARNING | trading_bot | Alpaca devolvio barras vacias para AAPL (1m)
2026-07-05 14:14:44 | WARNING | trading_bot | Alpaca devolvio barras vacias para AAPL (5m)
2026-07-05 14:14:44 | WARNING | trading_bot | Alpaca devolvio barras vacias para AAPL (15m)
2026-07-05 14:15:08 | WARNING | trading_bot | Alpaca devolvio barras vacias para AAPL (1m)
2026-07-05 14:15:08 | WARNING | trading_bot | Alpaca devolvio barras vacias para AAPL (5m)
2026-07-05 14:15:09 | WARNING | trading_bot | Alpaca devolvio barras vacias para AAPL (15m)
2026-07-05 14:15:58 | WARNING | trading_bot | WebSocket stale detectado (market-stocks). Forzando reconexion controlada.
2026-07-05 14:15:58 | WARNING | trading_bot | WebSocket stale detectado (news). Forzando reconexion controlada.
2026-07-05 14:15:58 | WARNING | trading_bot | WebSocket stale detectado (trade_updates). Forzando reconexion controlada.
2026-07-05 14:16:48 | WARNING | trading_bot | WebSocket stale detectado (market-stocks). Forzando reconexion controlada.
2026-07-05 14:16:48 | WARNING | trading_bot | WebSocket stale detectado (news). Forzando reconexion controlada.
2026-07-05 14:16:48 | WARNING | trading_bot | WebSocket stale detectado (trade_updates). Forzando reconexion controlada.
2026-07-05 14:17:38 | WARNING | trading_bot | WebSocket stale detectado (market-stocks). Forzando reconexion controlada.
2026-07-05 14:17:38 | WARNING | trading_bot | WebSocket stale detectado (news). Forzando reconexion controlada.
2026-07-05 14:17:38 | WARNING | trading_bot | WebSocket stale detectado (trade_updates). Forzando reconexion controlada.
2026-07-05 14:17:53 | WARNING | trading_bot | CRYPTO SOLUSD: Opening position with max_hold_time=30 minutes. Stop loss enabled.
2026-07-05 14:17:53 | WARNING | trading_bot | Entrada parcial SOLUSD status=canceled filled_qty=502.74700000 requested_qty=988.58190000
2026-07-05 14:17:53 | WARNING | trading_bot | No se pudo crear salida inmediata para SOLUSD: 403 Client Error: Forbidden for url: https://paper-api.alpaca.markets/v2/orders
2026-07-05 14:18:28 | WARNING | trading_bot | WebSocket stale detectado (market-stocks). Forzando reconexion controlada.
2026-07-05 14:18:28 | WARNING | trading_bot | WebSocket stale detectado (news). Forzando reconexion controlada.
2026-07-05 14:18:28 | WARNING | trading_bot | WebSocket stale detectado (trade_updates). Forzando reconexion controlada.
2026-07-05 14:19:19 | WARNING | trading_bot | WebSocket stale detectado (market-stocks). Forzando reconexion controlada.
2026-07-05 14:19:19 | WARNING | trading_bot | WebSocket stale detectado (news). Forzando reconexion controlada.
2026-07-05 14:19:19 | WARNING | trading_bot | WebSocket stale detectado (trade_updates). Forzando reconexion controlada.
2026-07-05 14:20:09 | WARNING | trading_bot | WebSocket stale detectado (market-stocks). Forzando reconexion controlada.
2026-07-05 14:20:09 | WARNING | trading_bot | WebSocket stale detectado (news). Forzando reconexion controlada.
2026-07-05 14:20:09 | WARNING | trading_bot | WebSocket stale detectado (trade_updates). Forzando reconexion controlada.
2026-07-05 14:20:59 | WARNING | trading_bot | WebSocket stale detectado (market-stocks). Forzando reconexion controlada.
2026-07-05 14:20:59 | WARNING | trading_bot | WebSocket stale detectado (news). Forzando reconexion controlada.
2026-07-05 14:20:59 | WARNING | trading_bot | WebSocket stale detectado (trade_updates). Forzando reconexion controlada.
2026-07-05 14:21:49 | WARNING | trading_bot | WebSocket stale detectado (market-stocks). Forzando reconexion controlada.
2026-07-05 14:21:49 | WARNING | trading_bot | WebSocket stale detectado (trade_updates). Forzando reconexion controlada.
2026-07-05 14:22:19 | WARNING | trading_bot | WebSocket stale detectado (news). Forzando reconexion controlada.
2026-07-05 14:22:39 | WARNING | trading_bot | WebSocket stale detectado (market-stocks). Forzando reconexion controlada.
2026-07-05 14:22:39 | WARNING | trading_bot | WebSocket stale detectado (trade_updates). Forzando reconexion controlada.
2026-07-05 14:22:54 | WARNING | trading_bot | WebSocket stale detectado (market-crypto). Forzando reconexion controlada.
2026-07-05 14:23:09 | WARNING | trading_bot | WebSocket stale detectado (news). Forzando reconexion controlada.
2026-07-05 14:23:29 | WARNING | trading_bot | WebSocket stale detectado (market-stocks). Forzando reconexion controlada.
2026-07-05 14:23:29 | WARNING | trading_bot | WebSocket stale detectado (trade_updates). Forzando reconexion controlada.
2026-07-05 14:23:59 | WARNING | trading_bot | WebSocket stale detectado (news). Forzando reconexion controlada.
2026-07-05 14:24:19 | WARNING | trading_bot | WebSocket stale detectado (market-stocks). Forzando reconexion controlada.
2026-07-05 14:24:19 | WARNING | trading_bot | WebSocket stale detectado (trade_updates). Forzando reconexion controlada.
2026-07-05 14:24:49 | WARNING | trading_bot | WebSocket stale detectado (news). Forzando reconexion controlada.
2026-07-05 14:25:09 | WARNING | trading_bot | WebSocket stale detectado (market-stocks). Forzando reconexion controlada.
2026-07-05 14:25:09 | WARNING | trading_bot | WebSocket stale detectado (trade_updates). Forzando reconexion controlada.
2026-07-05 14:25:21 | WARNING | trading_bot | CRYPTO SOLUSD: Opening position with max_hold_time=30 minutes. Stop loss enabled.
2026-07-05 14:25:21 | WARNING | trading_bot | Entrada parcial SOLUSD status=canceled filled_qty=501.18490000 requested_qty=983.92510000
2026-07-05 14:25:21 | WARNING | trading_bot | No se pudo crear salida inmediata para SOLUSD: 403 Client Error: Forbidden for url: https://paper-api.alpaca.markets/v2/orders
2026-07-05 14:25:39 | WARNING | trading_bot | WebSocket stale detectado (news). Forzando reconexion controlada.
2026-07-05 14:25:59 | WARNING | trading_bot | WebSocket stale detectado (market-stocks). Forzando reconexion controlada.
2026-07-05 14:25:59 | WARNING | trading_bot | WebSocket stale detectado (trade_updates). Forzando reconexion controlada.
2026-07-05 14:26:29 | WARNING | trading_bot | WebSocket stale detectado (news). Forzando reconexion controlada.
2026-07-05 14:26:49 | WARNING | trading_bot | WebSocket stale detectado (market-stocks). Forzando reconexion controlada.
2026-07-05 14:26:49 | WARNING | trading_bot | WebSocket stale detectado (trade_updates). Forzando reconexion controlada.
2026-07-05 14:27:19 | WARNING | trading_bot | WebSocket stale detectado (news). Forzando reconexion controlada.
2026-07-05 14:27:39 | WARNING | trading_bot | WebSocket stale detectado (market-stocks). Forzando reconexion controlada.
2026-07-05 14:27:39 | WARNING | trading_bot | WebSocket stale detectado (trade_updates). Forzando reconexion controlada.
2026-07-05 14:28:09 | WARNING | trading_bot | WebSocket stale detectado (news). Forzando reconexion controlada.
2026-07-05 14:28:29 | WARNING | trading_bot | WebSocket stale detectado (market-stocks). Forzando reconexion controlada.
2026-07-05 14:28:29 | WARNING | trading_bot | WebSocket stale detectado (trade_updates). Forzando reconexion controlada.
2026-07-05 14:28:59 | WARNING | trading_bot | WebSocket stale detectado (news). Forzando reconexion controlada.
2026-07-05 14:29:19 | WARNING | trading_bot | WebSocket stale detectado (market-stocks). Forzando reconexion controlada.
2026-07-05 14:29:19 | WARNING | trading_bot | WebSocket stale detectado (trade_updates). Forzando reconexion controlada.
2026-07-05 14:29:49 | WARNING | trading_bot | WebSocket stale detectado (news). Forzando reconexion controlada.
2026-07-05 14:30:09 | WARNING | trading_bot | WebSocket stale detectado (trade_updates). Forzando reconexion controlada.
2026-07-05 14:30:09 | WARNING | trading_bot | WebSocket stale detectado (market-stocks). Forzando reconexion controlada.
2026-07-05 14:30:39 | WARNING | trading_bot | WebSocket stale detectado (news). Forzando reconexion controlada.
2026-07-05 14:30:59 | WARNING | trading_bot | WebSocket stale detectado (trade_updates). Forzando reconexion controlada.
2026-07-05 14:30:59 | WARNING | trading_bot | WebSocket stale detectado (market-stocks). Forzando reconexion controlada.
2026-07-05 14:31:29 | WARNING | trading_bot | WebSocket stale detectado (news). Forzando reconexion controlada.
2026-07-05 14:31:50 | WARNING | trading_bot | WebSocket stale detectado (trade_updates). Forzando reconexion controlada.
2026-07-05 14:31:50 | WARNING | trading_bot | WebSocket stale detectado (market-stocks). Forzando reconexion controlada.
2026-07-05 14:32:20 | WARNING | trading_bot | WebSocket stale detectado (news). Forzando reconexion controlada.
2026-07-05 14:32:40 | WARNING | trading_bot | WebSocket stale detectado (market-stocks). Forzando reconexion controlada.
2026-07-05 14:32:40 | WARNING | trading_bot | WebSocket stale detectado (trade_updates). Forzando reconexion controlada.
2026-07-05 14:32:48 | WARNING | trading_bot | CRYPTO SOLUSD: Opening position with max_hold_time=30 minutes. Stop loss enabled.
